iter	Passed	Remaining
0	0	62
1	1	55
2	1	52
3	1	46
4	2	44
5	2	44
6	3	43
7	3	42
8	4	41
9	4	41
10	5	41
11	5	40
12	5	40
13	6	39
14	6	38
15	7	38
16	7	37
17	8	37
18	8	36
19	9	36
20	9	36
21	10	35
22	10	35
23	11	34
24	11	34
25	12	34
26	12	33
27	12	33
28	13	32
29	13	32
30	14	31
31	14	31
32	15	30
33	15	30
34	16	29
35	16	29
36	17	29
37	17	28
38	17	28
39	18	27
40	18	27
41	19	26
42	19	25
43	20	25
44	20	24
45	20	24
46	21	24
47	21	23
48	22	23
49	22	22
50	23	22
51	23	21
52	24	21
53	24	21
54	25	20
55	25	19
56	25	19
57	26	19
58	26	18
59	27	18
60	27	17
61	28	17
62	28	16
63	29	16
64	29	15
65	29	15
66	30	14
67	30	14
68	31	14
69	31	13
70	32	13
71	32	12
72	33	12
73	33	11
74	34	11
75	34	10
76	34	10
77	35	9
78	35	9
79	36	9
80	36	8
81	37	8
82	37	7
83	38	7
84	38	6
85	38	6
86	39	5
87	39	5
88	40	4
89	40	4
90	41	4
91	42	3
92	42	3
93	43	2
94	43	2
95	44	1
96	44	1
97	44	0
98	45	0
99	45	0
